City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
306,Pospelikha,RU,51.95,81.7667,7.16,93,100,3.42,overcast clouds
307,Tura,IN,25.5198,90.2201,65.82,48,76,1.05,broken clouds
308,Khani,GE,41.9563,42.9566,38.77,70,33,2.19,scattered clouds
309,Blagoveshchensk,RU,50.2667,127.5333,-13.59,84,0,2.24,clear sky
310,Autun,FR,46.95,4.3,38.08,86,94,2.62,overcast clouds
311,Grindavik,IS,63.8424,-22.4338,31.95,80,100,14.97,overcast clouds
312,Mar Del Plata,AR,-38.0023,-57.5575,81.82,80,40,12.66,scattered clouds
313,Barahona,DO,18.2085,-71.1008,85.82,54,20,9.22,few clouds
314,Shingu,JP,33.7333,135.9833,34.9,74,3,5.84,clear sky
315,Brae,GB,60.3964,-1.353,42.12,77,91,31.23,light rain
316,Hilpoltstein,DE,49.19,11.1886,38.39,82,100,14.03,overcast clouds
317,Hofn,IS,64.2539,-15.2082,33.55,68,100,25.28,overcast clouds
318,Coahuayana,MX,18.7333,-103.6833,80.04,44,1,2.57,clear sky
319,Patti,IN,31.2808,74.8572,51.87,63,1,7.4,clear sky
320,Tocopilla,CL,-22.092,-70.1979,74.21,74,100,3.71,overcast clouds
321,Constitucion,CL,-35.3333,-72.4167,70.27,55,75,11.95,broken clouds
322,Taoudenni,ML,22.6783,-3.9836,71.98,10,18,15.14,few clouds
323,Moerai,PF,-22.4333,-151.3333,79.0,74,100,10.36,light rain
324,Margate,GB,51.3813,1.3862,49.89,71,63,5.99,broken clouds
325,Yaan,NG,7.3833,8.5667,98.71,22,10,2.44,clear sky
326,Mount Isa,AU,-20.7333,139.5,74.97,100,95,3.44,overcast clouds
327,Hay River,CA,60.8156,-115.7999,-16.62,76,75,2.3,broken clouds
328,Eaton Socon,GB,52.2175,-0.2893,49.82,60,10,12.91,clear sky
329,Mitsamiouli,KM,-11.3847,43.2844,82.02,75,4,3.74,clear sky
330,Shenjiamen,CN,29.9576,122.298,53.67,88,0,12.68,clear sky
331,Santiago De Cao,PE,-7.9589,-79.2392,69.93,78,0,5.75,clear sky
332,Nurobod,UZ,40.9056,69.8023,40.46,72,86,8.37,overcast clouds
333,Ati,TD,13.2154,18.3353,96.04,8,3,9.42,clear sky
334,Victor Harbor,AU,-35.5667,138.6167,61.0,75,16,6.62,few clouds
335,Vila Velha,BR,-20.3297,-40.2925,85.95,71,40,17.27,scattered clouds
336,Juneau,US,58.3019,-134.4197,33.22,97,100,0.0,light snow
337,Qasigiannguit,GL,68.8193,-51.1922,10.65,97,100,10.78,light snow
338,Mwinilunga,ZM,-11.7358,24.4293,62.91,96,98,1.01,overcast clouds
339,Neuquen,AR,-38.9516,-68.0591,67.89,52,75,4.61,broken clouds
340,Talcahuano,CL,-36.7167,-73.1167,67.68,45,0,8.05,clear sky
341,Kruisfontein,ZA,-34.0033,24.7314,79.88,67,4,19.55,clear sky
342,San Angelo,US,31.4638,-100.437,23.29,92,100,8.01,overcast clouds
343,Ribeira Grande,PT,38.5167,-28.7,60.78,67,20,11.99,few clouds
